_ws.col.No.,_ws.col.Time,timestamp,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.ack,tcp.seq,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.options.mptcp.rawdataseqno,tcp.window_size,tcp.len,tcp.hdr_len,tcp.analysis.lost_segment,tcp.analysis.ack_rtt,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.bytes_in_flight
34,2017-12-22 15:21:46.413457362,1513927306.4134574,192.168.82.72,222.29.98.225,TCP,59027,40002,341351792,3156777493,0,1,0,0,,72704,0,32,,0.000040478,,,,
35,2017-12-22 15:21:46.413463224,1513927306.413463,192.168.82.72,222.29.98.225,TCP,59027,40002,341353150,3156777493,0,1,0,0,,75776,0,32,,0.000045830,,,,
36,2017-12-22 15:21:46.433417772,1513927306.4334178,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341353150,0,1,0,0,,29056,1358,32,,,,,,1358
37,2017-12-22 15:21:46.433418303,1513927306.4334183,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341354508,0,1,0,0,,29056,1358,32,,,,,,2716
38,2017-12-22 15:21:46.433452849,1513927306.4334528,192.168.82.72,222.29.98.225,TCP,59027,40002,341354508,3156777493,0,1,0,0,,78848,0,32,,0.000035077,,,,
39,2017-12-22 15:21:46.433463549,1513927306.4334636,192.168.82.72,222.29.98.225,TCP,59027,40002,341355866,3156777493,0,1,0,0,,81920,0,32,,0.000045246,,,,
40,2017-12-22 15:21:46.442412124,1513927306.4424121,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341355866,0,1,0,0,,29056,1358,32,,,,,,1358
41,2017-12-22 15:21:46.442412539,1513927306.4424126,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341357224,0,1,0,0,,29056,1358,32,,,,,,2716
42,2017-12-22 15:21:46.442446904,1513927306.442447,192.168.82.72,222.29.98.225,TCP,59027,40002,341357224,3156777493,0,1,0,0,,84992,0,32,,0.000034780,,,,
43,2017-12-22 15:21:46.442452239,1513927306.4424522,192.168.82.72,222.29.98.225,TCP,59027,40002,341358582,3156777493,0,1,0,0,,88064,0,32,,0.000039700,,,,
44,2017-12-22 15:21:46.447344745,1513927306.4473448,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341358582,0,1,0,0,,29056,1358,32,,,,,,1358
45,2017-12-22 15:21:46.447345245,1513927306.4473453,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341359940,0,1,0,0,,29056,1358,32,,,,,,2716
46,2017-12-22 15:21:46.447383550,1513927306.4473836,192.168.82.72,222.29.98.225,TCP,59027,40002,341359940,3156777493,0,1,0,0,,90112,0,32,,0.000038805,,,,
47,2017-12-22 15:21:46.447388881,1513927306.447389,192.168.82.72,222.29.98.225,TCP,59027,40002,341361298,3156777493,0,1,0,0,,93184,0,32,,0.000043636,,,,
48,2017-12-22 15:21:46.461326187,1513927306.4613261,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341361298,0,1,0,0,,29056,1358,32,,,,,,1358
49,2017-12-22 15:21:46.461360254,1513927306.4613602,192.168.82.72,222.29.98.225,TCP,59027,40002,341362656,3156777493,0,1,0,0,,96256,0,32,,0.000034067,,,,
50,2017-12-22 15:21:46.470451712,1513927306.4704516,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341362656,0,1,0,0,,29056,1358,32,,,,,,1358
51,2017-12-22 15:21:46.470492152,1513927306.4704921,192.168.82.72,222.29.98.225,TCP,59027,40002,341364014,3156777493,0,1,0,0,,99328,0,32,,0.000040440,,,,
52,2017-12-22 15:21:46.475324677,1513927306.4753246,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341364014,0,1,0,0,,29056,1358,32,,,,,,1358
53,2017-12-22 15:21:46.475356212,1513927306.475356,192.168.82.72,222.29.98.225,TCP,59027,40002,341365372,3156777493,0,1,0,0,,102400,0,32,,0.000031535,,,,
54,2017-12-22 15:21:46.484410086,1513927306.48441,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341365372,0,1,0,0,,29056,1358,32,,,,,,1358
55,2017-12-22 15:21:46.484527616,1513927306.4845276,192.168.82.72,222.29.98.225,TCP,59027,40002,341366730,3156777493,0,1,0,0,,105472,0,32,,0.000117530,,,,
56,2017-12-22 15:21:46.490331244,1513927306.4903312,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341366730,0,1,0,0,,29056,1358,32,,,,,,1358
57,2017-12-22 15:21:46.490419411,1513927306.4904194,192.168.82.72,222.29.98.225,TCP,59027,40002,341368088,3156777493,0,1,0,0,,107520,0,32,,0.000088167,,,,
58,2017-12-22 15:21:46.491292079,1513927306.491292,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341368088,0,1,0,0,,29056,1358,32,,,,,,1358
59,2017-12-22 15:21:46.491394583,1513927306.4913945,192.168.82.72,222.29.98.225,TCP,59027,40002,341369446,3156777493,0,1,0,0,,110592,0,32,,0.000102504,,,,
60,2017-12-22 15:21:46.517567596,1513927306.5175676,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341369446,0,1,0,0,,29056,1358,32,,,,,,1358
61,2017-12-22 15:21:46.517568922,1513927306.5175688,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341370804,0,1,0,0,,29056,1358,32,,,,,,2716
62,2017-12-22 15:21:46.517652827,1513927306.5176528,192.168.82.72,222.29.98.225,TCP,59027,40002,341370804,3156777493,0,1,0,0,,113664,0,32,,0.000085231,,,,
63,2017-12-22 15:21:46.517681622,1513927306.5176816,192.168.82.72,222.29.98.225,TCP,59027,40002,341372162,3156777493,0,1,0,0,,116736,0,32,,0.000112700,,,,
64,2017-12-22 15:21:46.592557387,1513927306.5925574,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341372162,0,1,0,0,,29056,1358,32,,,,,,1358
65,2017-12-22 15:21:46.592558710,1513927306.5925586,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341373520,0,1,0,0,,29056,1358,32,,,,,,2716
66,2017-12-22 15:21:46.592642329,1513927306.5926423,192.168.82.72,222.29.98.225,TCP,59027,40002,341373520,3156777493,0,1,0,0,,119808,0,32,,0.000084942,,,,
67,2017-12-22 15:21:46.592656900,1513927306.5926569,192.168.82.72,222.29.98.225,TCP,59027,40002,341374878,3156777493,0,1,0,0,,122880,0,32,,0.000098190,,,,
68,2017-12-22 15:21:46.593785683,1513927306.5937858,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341374878,0,1,0,0,,29056,1358,32,,,,,,1358
69,2017-12-22 15:21:46.593787073,1513927306.593787,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341376236,0,1,0,0,,29056,1358,32,,,,,,2716
70,2017-12-22 15:21:46.593884137,1513927306.5938842,192.168.82.72,222.29.98.225,TCP,59027,40002,341376236,3156777493,0,1,0,0,,124928,0,32,,0.000098454,,,,
71,2017-12-22 15:21:46.593899418,1513927306.5938995,192.168.82.72,222.29.98.225,TCP,59027,40002,341377594,3156777493,0,1,0,0,,128000,0,32,,0.000112345,,,,
72,2017-12-22 15:21:46.607713171,1513927306.6077132,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341377594,0,1,0,0,,29056,1358,32,,,,,,1358
73,2017-12-22 15:21:46.607797564,1513927306.6077976,192.168.82.72,222.29.98.225,TCP,59027,40002,341378952,3156777493,0,1,0,0,,131072,0,32,,0.000084393,,,,
74,2017-12-22 15:21:46.617459870,1513927306.6174598,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341378952,0,1,0,0,,29056,1358,32,,,,,,1358
75,2017-12-22 15:21:46.617461244,1513927306.6174612,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341380310,0,1,0,0,,29056,1358,32,,,,,,2716
76,2017-12-22 15:21:46.617462070,1513927306.6174622,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341381668,0,1,0,0,,29056,1358,32,,,,,,4074
77,2017-12-22 15:21:46.617578092,1513927306.617578,192.168.82.72,222.29.98.225,TCP,59027,40002,341380310,3156777493,0,1,0,0,,134144,0,32,,0.000118222,,,,
78,2017-12-22 15:21:46.617596226,1513927306.6175961,192.168.82.72,222.29.98.225,TCP,59027,40002,341381668,3156777493,0,1,0,0,,137216,0,32,,0.000134982,,,,
79,2017-12-22 15:21:46.617606037,1513927306.617606,192.168.82.72,222.29.98.225,TCP,59027,40002,341383026,3156777493,0,1,0,0,,139264,0,32,,0.000143967,,,,
80,2017-12-22 15:21:46.624626172,1513927306.6246262,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341383026,0,1,0,0,,29056,1358,32,,,,,,1358
81,2017-12-22 15:21:46.624627400,1513927306.6246274,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341384384,0,1,0,0,,29056,1358,32,,,,,,2716
82,2017-12-22 15:21:46.624742455,1513927306.6247425,192.168.82.72,222.29.98.225,TCP,59027,40002,341384384,3156777493,0,1,0,0,,142336,0,32,,0.000116283,,,,
83,2017-12-22 15:21:46.624761056,1513927306.624761,192.168.82.72,222.29.98.225,TCP,59027,40002,341385742,3156777493,0,1,0,0,,145408,0,32,,0.000133656,,,,
84,2017-12-22 15:21:46.636724838,1513927306.636725,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341385742,0,1,0,0,,29056,1358,32,,,,,,1358
85,2017-12-22 15:21:46.636726267,1513927306.6367264,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341387100,0,1,0,0,,29056,1358,32,,,,,,2716
86,2017-12-22 15:21:46.636823444,1513927306.6368234,192.168.82.72,222.29.98.225,TCP,59027,40002,341387100,3156777493,0,1,0,0,,148480,0,32,,0.000098606,,,,
87,2017-12-22 15:21:46.636859819,1513927306.63686,192.168.82.72,222.29.98.225,TCP,59027,40002,341388458,3156777493,0,1,0,0,,151552,0,32,,0.000133552,,,,
88,2017-12-22 15:21:46.649367061,1513927306.649367,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341388458,0,1,0,0,,29056,1358,32,,,,,,1358
89,2017-12-22 15:21:46.649395305,1513927306.6493952,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341389816,0,1,0,0,,29056,1358,32,,,,,,2716
90,2017-12-22 15:21:46.649397712,1513927306.6493976,192.168.82.72,222.29.98.225,TCP,59027,40002,341389816,3156777493,0,1,0,0,,154624,0,32,,0.000030651,,,,
91,2017-12-22 15:21:46.649407958,1513927306.6494079,192.168.82.72,222.29.98.225,TCP,59027,40002,341391174,3156777493,0,1,0,0,,156672,0,32,,0.000012653,,,,
92,2017-12-22 15:21:46.660346909,1513927306.660347,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341391174,0,1,0,0,,29056,1358,32,,,,,,1358
93,2017-12-22 15:21:46.660371791,1513927306.6603718,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,341392532,0,1,0,0,,29056,1358,32,,,,,,2716
94,2017-12-22 15:21:46.660380997,1513927306.660381,192.168.82.72,222.29.98.225,TCP,59027,40002,341392532,3156777493,0,1,0,0,,159744,0,32,,0.000034088,,,,
