_ws.col.No.,_ws.col.Time,timestamp,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.ack,tcp.seq,tcp.flags.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.reset,tcp.options.mptcp.rawdataseqno,tcp.window_size,tcp.len,tcp.hdr_len,tcp.analysis.lost_segment,tcp.analysis.ack_rtt,tcp.analysis.retransmission,tcp.analysis.fast_retransmission,tcp.analysis.spurious_retransmission,tcp.analysis.bytes_in_flight
3337,2017-12-22 15:21:48.212392349,1513927308.2123923,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343764958,0,1,0,0,,29056,1358,32,,,,,,2716
3338,2017-12-22 15:21:48.212426396,1513927308.2124264,192.168.82.72,222.29.98.225,TCP,59027,40002,343764958,3156777493,0,1,0,0,,3145728,0,32,,0.000034474,,,,
3339,2017-12-22 15:21:48.212431960,1513927308.212432,192.168.82.72,222.29.98.225,TCP,59027,40002,343766316,3156777493,0,1,0,0,,3145728,0,32,,0.000039611,,,,
3340,2017-12-22 15:21:48.214514993,1513927308.214515,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343766316,0,1,0,0,,29056,1358,32,,,,,,1358
3341,2017-12-22 15:21:48.214515179,1513927308.2145152,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343767674,0,1,0,0,,29056,1358,32,,,,,,2716
3342,2017-12-22 15:21:48.214555094,1513927308.214555,192.168.82.72,222.29.98.225,TCP,59027,40002,343767674,3156777493,0,1,0,0,,3145728,0,32,,0.000040101,,,,
3343,2017-12-22 15:21:48.214560633,1513927308.2145607,192.168.82.72,222.29.98.225,TCP,59027,40002,343769032,3156777493,0,1,0,0,,3145728,0,32,,0.000045454,,,,
3344,2017-12-22 15:21:48.215451565,1513927308.2154515,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343769032,0,1,0,0,,29056,1358,32,,,,,,1358
3345,2017-12-22 15:21:48.215452228,1513927308.2154522,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343770390,0,1,0,0,,29056,1358,32,,,,,,2716
3346,2017-12-22 15:21:48.215452416,1513927308.2154524,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343771748,0,1,0,0,,29056,1358,32,,,,,,4074
3347,2017-12-22 15:21:48.215486084,1513927308.215486,192.168.82.72,222.29.98.225,TCP,59027,40002,343770390,3156777493,0,1,0,0,,3145728,0,32,,0.000034519,,,,
3348,2017-12-22 15:21:48.215491575,1513927308.2154915,192.168.82.72,222.29.98.225,TCP,59027,40002,343771748,3156777493,0,1,0,0,,3145728,0,32,,0.000039347,,,,
3349,2017-12-22 15:21:48.215493970,1513927308.215494,192.168.82.72,222.29.98.225,TCP,59027,40002,343773106,3156777493,0,1,0,0,,3145728,0,32,,0.000041554,,,,
3350,2017-12-22 15:21:48.219527742,1513927308.2195277,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343773106,0,1,0,0,,29056,1358,32,,,,,,1358
3351,2017-12-22 15:21:48.219552483,1513927308.2195525,192.168.82.72,222.29.98.225,TCP,59027,40002,343774464,3156777493,0,1,0,0,,3145728,0,32,,0.000024741,,,,
3352,2017-12-22 15:21:48.219570470,1513927308.2195704,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343774464,0,1,0,0,,29056,1358,32,,,,,,1358
3353,2017-12-22 15:21:48.221620228,1513927308.2216203,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343775822,0,1,0,0,,29056,1358,32,,,,,,2716
3354,2017-12-22 15:21:48.221620506,1513927308.2216206,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343777180,0,1,0,0,,29056,1358,32,,,,,,4074
3355,2017-12-22 15:21:48.221660738,1513927308.2216609,192.168.82.72,222.29.98.225,TCP,59027,40002,343777180,3156777493,0,1,0,0,,3145728,0,32,,0.000040510,,,,
3356,2017-12-22 15:21:48.222721469,1513927308.2227216,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343778538,0,1,0,0,,29056,1358,32,,,,,,2716
3357,2017-12-22 15:21:48.222721881,1513927308.2227218,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343779896,0,1,0,0,,29056,1358,32,,,,,,4074
3358,2017-12-22 15:21:48.222722056,1513927308.222722,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343781254,0,1,0,0,,29056,1358,32,,,,,,5432
3359,2017-12-22 15:21:48.222755692,1513927308.2227557,192.168.82.72,222.29.98.225,TCP,59027,40002,343779896,3156777493,0,1,0,0,,3145728,0,32,,0.000034223,,,,
3360,2017-12-22 15:21:48.222762236,1513927308.2227623,192.168.82.72,222.29.98.225,TCP,59027,40002,343782612,3156777493,0,1,0,0,,3145728,0,32,,0.000040180,,,,
3361,2017-12-22 15:21:48.226496971,1513927308.226497,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343782612,0,1,0,0,,29056,1358,32,,,,,,1358
3362,2017-12-22 15:21:48.226497154,1513927308.2264972,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343783970,0,1,0,0,,29056,1358,32,,,,,,2716
3363,2017-12-22 15:21:48.226538042,1513927308.226538,192.168.82.72,222.29.98.225,TCP,59027,40002,343785328,3156777493,0,1,0,0,,3145728,0,32,,0.000040888,,,,
3364,2017-12-22 15:21:48.227410789,1513927308.2274108,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343785328,0,1,0,0,,29056,1358,32,,,,,,1358
3365,2017-12-22 15:21:48.227411209,1513927308.2274113,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343786686,0,1,0,0,,29056,1358,32,,,,,,2716
3366,2017-12-22 15:21:48.227446917,1513927308.227447,192.168.82.72,222.29.98.225,TCP,59027,40002,343788044,3156777493,0,1,0,0,,3145728,0,32,,0.000035708,,,,
3367,2017-12-22 15:21:48.229664053,1513927308.229664,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343788044,0,1,0,0,,29056,1358,32,,,,,,1358
3368,2017-12-22 15:21:48.229664494,1513927308.2296646,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343789402,0,1,0,0,,29056,1358,32,,,,,,2716
3369,2017-12-22 15:21:48.229685329,1513927308.2296853,192.168.82.72,222.29.98.225,TCP,59027,40002,343790760,3156777493,0,1,0,0,,3145728,0,32,,0.000020835,,,,
3370,2017-12-22 15:21:48.229689412,1513927308.2296894,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343790760,0,1,0,0,,29056,1358,32,,,,,,1358
3371,2017-12-22 15:21:48.230464670,1513927308.2304647,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343792118,0,1,0,0,,29056,1358,32,,,,,,2716
3372,2017-12-22 15:21:48.230465107,1513927308.2304652,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343793476,0,1,0,0,,29056,1358,32,,,,,,4074
3373,2017-12-22 15:21:48.230498558,1513927308.2304986,192.168.82.72,222.29.98.225,TCP,59027,40002,343793476,3156777493,0,1,0,0,,3145728,0,32,,0.000033888,,,,
3374,2017-12-22 15:21:48.231405675,1513927308.2314057,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343794834,0,1,0,0,,29056,1358,32,,,,,,2716
3375,2017-12-22 15:21:48.231406285,1513927308.2314062,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343796192,0,1,0,0,,29056,1358,32,,,,,,4074
3376,2017-12-22 15:21:48.231440244,1513927308.2314403,192.168.82.72,222.29.98.225,TCP,59027,40002,343796192,3156777493,0,1,0,0,,3145728,0,32,,0.000034569,,,,
3377,2017-12-22 15:21:48.232523382,1513927308.2325234,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343797550,0,1,0,0,,29056,1358,32,,,,,,2716
3378,2017-12-22 15:21:48.232539641,1513927308.2325397,192.168.82.72,222.29.98.225,TCP,59027,40002,343798908,3156777493,0,1,0,0,,3145728,0,32,,0.000016259,,,,
3379,2017-12-22 15:21:48.232560445,1513927308.2325604,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343798908,0,1,0,0,,29056,1358,32,,,,,,1358
3380,2017-12-22 15:21:48.232606532,1513927308.2326066,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343800266,0,1,0,0,,29056,1358,32,,,,,,2716
3381,2017-12-22 15:21:48.232610246,1513927308.2326102,192.168.82.72,222.29.98.225,TCP,59027,40002,343801624,3156777493,0,1,0,0,,3145728,0,32,,0.000003714,,,,
3382,2017-12-22 15:21:48.233362318,1513927308.2333624,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343801624,0,1,0,0,,29056,1358,32,,,,,,1358
3383,2017-12-22 15:21:48.233406440,1513927308.2334065,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343802982,0,1,0,0,,29056,1358,32,,,,,,2716
3384,2017-12-22 15:21:48.233416464,1513927308.2334166,192.168.82.72,222.29.98.225,TCP,59027,40002,343804340,3156777493,0,1,0,0,,3145728,0,32,,0.000010024,,,,
3385,2017-12-22 15:21:48.233431806,1513927308.2334318,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343804340,0,1,0,0,,29056,1358,32,,,,,,1358
3386,2017-12-22 15:21:48.234647618,1513927308.2346475,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343805698,0,1,0,0,,29056,1358,32,,,,,,2716
3387,2017-12-22 15:21:48.234659304,1513927308.2346592,192.168.82.72,222.29.98.225,TCP,59027,40002,343807056,3156777493,0,1,0,0,,3145728,0,32,,0.000011686,,,,
3388,2017-12-22 15:21:48.234685131,1513927308.2346852,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343807056,0,1,0,0,,29056,1358,32,,,,,,1358
3389,2017-12-22 15:21:48.235406809,1513927308.2354069,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343808414,0,1,0,0,,29056,1358,32,,,,,,2716
3390,2017-12-22 15:21:48.235440648,1513927308.2354407,192.168.82.72,222.29.98.225,TCP,59027,40002,343809772,3156777493,0,1,0,0,,3145728,0,32,,0.000033839,,,,
3391,2017-12-22 15:21:48.235450042,1513927308.23545,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343809772,0,1,0,0,,29056,1358,32,,,,,,1358
3392,2017-12-22 15:21:48.235475107,1513927308.235475,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343811130,0,1,0,0,,29056,1358,32,,,,,,2716
3393,2017-12-22 15:21:48.235479317,1513927308.2354794,192.168.82.72,222.29.98.225,TCP,59027,40002,343812488,3156777493,0,1,0,0,,3145728,0,32,,0.000004210,,,,
3394,2017-12-22 15:21:48.236573537,1513927308.2365735,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343812488,0,1,0,0,,29056,1358,32,,,,,,1358
3395,2017-12-22 15:21:48.236574191,1513927308.2365742,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343813846,0,1,0,0,,29056,1358,32,,,,,,2716
3396,2017-12-22 15:21:48.236574387,1513927308.2365744,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343815204,0,1,0,0,,29056,1358,32,,,,,,4074
3397,2017-12-22 15:21:48.236610756,1513927308.2366107,192.168.82.72,222.29.98.225,TCP,59027,40002,343815204,3156777493,0,1,0,0,,3145728,0,32,,0.000036565,,,,
3398,2017-12-22 15:21:48.237387693,1513927308.2373877,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343816562,0,1,0,0,,29056,1358,32,,,,,,2716
3399,2017-12-22 15:21:48.237419506,1513927308.2374196,192.168.82.72,222.29.98.225,TCP,59027,40002,343817920,3156777493,0,1,0,0,,3145728,0,32,,0.000031813,,,,
3400,2017-12-22 15:21:48.237426026,1513927308.237426,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343817920,0,1,0,0,,29056,1358,32,,,,,,1358
3401,2017-12-22 15:21:48.238457875,1513927308.238458,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343821994,0,1,0,0,,29056,1358,32,1,,,,,
3402,2017-12-22 15:21:48.238447966,1513927308.238448,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343819278,0,1,0,0,,29056,1358,32,,,1,,,
3403,2017-12-22 15:21:48.238448238,1513927308.2384481,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343820636,0,1,0,0,,29056,1358,32,,,1,,,
3404,2017-12-22 15:21:48.238483697,1513927308.2384837,192.168.82.72,222.29.98.225,TCP,59027,40002,343819278,3156777493,0,1,0,0,,3144704,0,44,,0.001057671,,,,
3405,2017-12-22 15:21:48.238490516,1513927308.2384906,192.168.82.72,222.29.98.225,TCP,59027,40002,343820636,3156777493,0,1,0,0,,3144704,0,44,,0.000042550,,,,
3406,2017-12-22 15:21:48.238493417,1513927308.2384934,192.168.82.72,222.29.98.225,TCP,59027,40002,343823352,3156777493,0,1,0,0,,3143680,0,32,,0.000035542,,,,
3407,2017-12-22 15:21:48.239640321,1513927308.2396402,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343823352,0,1,0,0,,29056,1358,32,,,,,,1358
3408,2017-12-22 15:21:48.239640729,1513927308.2396407,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343824710,0,1,0,0,,29056,1358,32,,,,,,2716
3409,2017-12-22 15:21:48.239640901,1513927308.239641,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343826068,0,1,0,0,,29056,1358,32,,,,,,4074
3410,2017-12-22 15:21:48.239676329,1513927308.2396762,192.168.82.72,222.29.98.225,TCP,59027,40002,343824710,3156777493,0,1,0,0,,3145728,0,32,,0.000036008,,,,
3411,2017-12-22 15:21:48.239681734,1513927308.2396817,192.168.82.72,222.29.98.225,TCP,59027,40002,343826068,3156777493,0,1,0,0,,3145728,0,32,,0.000041005,,,,
3412,2017-12-22 15:21:48.239684451,1513927308.2396843,192.168.82.72,222.29.98.225,TCP,59027,40002,343827426,3156777493,0,1,0,0,,3145728,0,32,,0.000043550,,,,
3413,2017-12-22 15:21:48.241468968,1513927308.241469,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343827426,0,1,0,0,,29056,1358,32,,,,,,1358
3414,2017-12-22 15:21:48.241469420,1513927308.2414694,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343828784,0,1,0,0,,29056,1358,32,,,,,,2716
3415,2017-12-22 15:21:48.241503778,1513927308.2415037,192.168.82.72,222.29.98.225,TCP,59027,40002,343828784,3156777493,0,1,0,0,,3145728,0,32,,0.000034810,,,,
3416,2017-12-22 15:21:48.241509371,1513927308.2415094,192.168.82.72,222.29.98.225,TCP,59027,40002,343830142,3156777493,0,1,0,0,,3145728,0,32,,0.000039951,,,,
3417,2017-12-22 15:21:48.242603754,1513927308.2426038,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343830142,0,1,0,0,,29056,1358,32,,,,,,1358
3418,2017-12-22 15:21:48.242604232,1513927308.2426043,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343831500,0,1,0,0,,29056,1358,32,,,,,,2716
3419,2017-12-22 15:21:48.242604512,1513927308.2426045,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343832858,0,1,0,0,,29056,1358,32,,,,,,4074
3420,2017-12-22 15:21:48.242641433,1513927308.2426414,192.168.82.72,222.29.98.225,TCP,59027,40002,343831500,3156777493,0,1,0,0,,3145728,0,32,,0.000037679,,,,
3421,2017-12-22 15:21:48.242649407,1513927308.2426493,192.168.82.72,222.29.98.225,TCP,59027,40002,343832858,3156777493,0,1,0,0,,3145728,0,32,,0.000045175,,,,
3422,2017-12-22 15:21:48.242652264,1513927308.2426522,192.168.82.72,222.29.98.225,TCP,59027,40002,343834216,3156777493,0,1,0,0,,3145728,0,32,,0.000047752,,,,
3423,2017-12-22 15:21:48.243468349,1513927308.2434683,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343834216,0,1,0,0,,29056,1358,32,,,,,,1358
3424,2017-12-22 15:21:48.243469052,1513927308.243469,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343835574,0,1,0,0,,29056,1358,32,,,,,,2716
3425,2017-12-22 15:21:48.243502026,1513927308.2435021,192.168.82.72,222.29.98.225,TCP,59027,40002,343835574,3156777493,0,1,0,0,,3145728,0,32,,0.000033677,,,,
3426,2017-12-22 15:21:48.243507643,1513927308.2435076,192.168.82.72,222.29.98.225,TCP,59027,40002,343836932,3156777493,0,1,0,0,,3145728,0,32,,0.000038591,,,,
3427,2017-12-22 15:21:48.244594415,1513927308.2445943,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343836932,0,1,0,0,,29056,1358,32,,,,,,1358
3428,2017-12-22 15:21:48.244594866,1513927308.2445948,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343838290,0,1,0,0,,29056,1358,32,,,,,,2716
3429,2017-12-22 15:21:48.244595051,1513927308.244595,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343839648,0,1,0,0,,29056,1358,32,,,,,,4074
3430,2017-12-22 15:21:48.244629488,1513927308.2446294,192.168.82.72,222.29.98.225,TCP,59027,40002,343838290,3156777493,0,1,0,0,,3145728,0,32,,0.000035073,,,,
3431,2017-12-22 15:21:48.244634830,1513927308.2446349,192.168.82.72,222.29.98.225,TCP,59027,40002,343839648,3156777493,0,1,0,0,,3145728,0,32,,0.000039964,,,,
3432,2017-12-22 15:21:48.244637341,1513927308.2446373,192.168.82.72,222.29.98.225,TCP,59027,40002,343841006,3156777493,0,1,0,0,,3145728,0,32,,0.000042290,,,,
3433,2017-12-22 15:21:48.246523232,1513927308.2465231,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343841006,0,1,0,0,,29056,1358,32,,,,,,1358
3434,2017-12-22 15:21:48.246559964,1513927308.2465599,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343842364,0,1,0,0,,29056,1358,32,,,,,,2716
3435,2017-12-22 15:21:48.246565990,1513927308.246566,192.168.82.72,222.29.98.225,TCP,59027,40002,343843722,3156777493,0,1,0,0,,3145728,0,32,,0.000006026,,,,
3436,2017-12-22 15:21:48.246601761,1513927308.2466018,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343843722,0,1,0,0,,29056,1358,32,,,,,,1358
3437,2017-12-22 15:21:48.248361132,1513927308.248361,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343845080,0,1,0,0,,29056,1358,32,,,,,,2716
3438,2017-12-22 15:21:48.248365155,1513927308.2483652,192.168.82.72,222.29.98.225,TCP,59027,40002,343846438,3156777493,0,1,0,0,,3145728,0,32,,0.000004023,,,,
3439,2017-12-22 15:21:48.248402810,1513927308.2484028,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343846438,0,1,0,0,,29056,1358,32,,,,,,1358
3440,2017-12-22 15:21:48.249516105,1513927308.249516,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343847796,0,1,0,0,,29056,1358,32,,,,,,2716
3441,2017-12-22 15:21:48.249529275,1513927308.2495294,192.168.82.72,222.29.98.225,TCP,59027,40002,343849154,3156777493,0,1,0,0,,3145728,0,32,,0.000013170,,,,
3442,2017-12-22 15:21:48.249570598,1513927308.2495706,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343849154,0,1,0,0,,29056,1358,32,,,,,,1358
3443,2017-12-22 15:21:48.249610118,1513927308.2496102,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343850512,0,1,0,0,,29056,1358,32,,,,,,2716
3444,2017-12-22 15:21:48.249613667,1513927308.2496138,192.168.82.72,222.29.98.225,TCP,59027,40002,343851870,3156777493,0,1,0,0,,3145728,0,32,,0.000003549,,,,
3445,2017-12-22 15:21:48.251441218,1513927308.2514412,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343851870,0,1,0,0,,29056,1358,32,,,,,,1358
3446,2017-12-22 15:21:48.251481447,1513927308.2514815,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343853228,0,1,0,0,,29056,1358,32,,,,,,2716
3447,2017-12-22 15:21:48.251488979,1513927308.251489,192.168.82.72,222.29.98.225,TCP,59027,40002,343854586,3156777493,0,1,0,0,,3145728,0,32,,0.000007532,,,,
3448,2017-12-22 15:21:48.252541538,1513927308.2525415,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343854586,0,1,0,0,,29056,1358,32,,,,,,1358
3449,2017-12-22 15:21:48.252616927,1513927308.252617,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343855944,0,1,0,0,,29056,1358,32,,,,,,2716
3450,2017-12-22 15:21:48.252630972,1513927308.252631,192.168.82.72,222.29.98.225,TCP,59027,40002,343857302,3156777493,0,1,0,0,,3145728,0,32,,0.000014045,,,,
3451,2017-12-22 15:21:48.252658782,1513927308.2526588,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343857302,0,1,0,0,,29056,1358,32,,,,,,1358
3452,2017-12-22 15:21:48.253356839,1513927308.253357,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343858660,0,1,0,0,,29056,1358,32,,,,,,2716
3453,2017-12-22 15:21:48.253372039,1513927308.253372,192.168.82.72,222.29.98.225,TCP,59027,40002,343860018,3156777493,0,1,0,0,,3145728,0,32,,0.000015200,,,,
3454,2017-12-22 15:21:48.253393645,1513927308.2533937,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343860018,0,1,0,0,,29056,1358,32,,,,,,1358
3455,2017-12-22 15:21:48.254365205,1513927308.2543652,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343861376,0,1,0,0,,29056,1358,32,,,,,,2716
3456,2017-12-22 15:21:48.254373176,1513927308.254373,192.168.82.72,222.29.98.225,TCP,59027,40002,343862734,3156777493,0,1,0,0,,3145728,0,32,,0.000007971,,,,
3457,2017-12-22 15:21:48.254403210,1513927308.254403,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343862734,0,1,0,0,,29056,1358,32,,,,,,1358
3458,2017-12-22 15:21:48.254442845,1513927308.254443,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343864092,0,1,0,0,,29056,1358,32,,,,,,2716
3459,2017-12-22 15:21:48.254449738,1513927308.2544498,192.168.82.72,222.29.98.225,TCP,59027,40002,343865450,3156777493,0,1,0,0,,3145728,0,32,,0.000006893,,,,
3460,2017-12-22 15:21:48.255375125,1513927308.2553751,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343865450,0,1,0,0,,29056,1358,32,,,,,,1358
3461,2017-12-22 15:21:48.255414361,1513927308.2554142,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343866808,0,1,0,0,,29056,1358,32,,,,,,2716
3462,2017-12-22 15:21:48.255421487,1513927308.2554214,192.168.82.72,222.29.98.225,TCP,59027,40002,343868166,3156777493,0,1,0,0,,3145728,0,32,,0.000007126,,,,
3463,2017-12-22 15:21:48.256352735,1513927308.2563527,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343868166,0,1,0,0,,29056,1358,32,,,,,,1358
3464,2017-12-22 15:21:48.256392011,1513927308.256392,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343869524,0,1,0,0,,29056,1358,32,,,,,,2716
3465,2017-12-22 15:21:48.256397995,1513927308.256398,192.168.82.72,222.29.98.225,TCP,59027,40002,343870882,3156777493,0,1,0,0,,3145728,0,32,,0.000005984,,,,
3466,2017-12-22 15:21:48.256433376,1513927308.2564335,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343870882,0,1,0,0,,29056,1358,32,,,,,,1358
3467,2017-12-22 15:21:48.257669269,1513927308.2576692,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343872240,0,1,0,0,,29056,1358,32,,,,,,2716
3468,2017-12-22 15:21:48.257677366,1513927308.2576773,192.168.82.72,222.29.98.225,TCP,59027,40002,343873598,3156777493,0,1,0,0,,3145728,0,32,,0.000008097,,,,
3469,2017-12-22 15:21:48.257707889,1513927308.2577078,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343873598,0,1,0,0,,29056,1358,32,,,,,,1358
3470,2017-12-22 15:21:48.257748502,1513927308.2577486,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343874956,0,1,0,0,,29056,1358,32,,,,,,2716
3471,2017-12-22 15:21:48.257754228,1513927308.2577543,192.168.82.72,222.29.98.225,TCP,59027,40002,343876314,3156777493,0,1,0,0,,3145728,0,32,,0.000005726,,,,
3472,2017-12-22 15:21:48.258315193,1513927308.258315,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343876314,0,1,0,0,,29056,1358,32,,,,,,1358
3473,2017-12-22 15:21:48.258362302,1513927308.2583623,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343877672,0,1,0,0,,29056,1358,32,,,,,,2716
3474,2017-12-22 15:21:48.258368375,1513927308.2583685,192.168.82.72,222.29.98.225,TCP,59027,40002,343879030,3156777493,0,1,0,0,,3145728,0,32,,0.000006073,,,,
3475,2017-12-22 15:21:48.259336682,1513927308.2593367,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343879030,0,1,0,0,,29056,1358,32,,,,,,1358
3476,2017-12-22 15:21:48.259376114,1513927308.259376,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343880388,0,1,0,0,,29056,1358,32,,,,,,2716
3477,2017-12-22 15:21:48.259382460,1513927308.2593825,192.168.82.72,222.29.98.225,TCP,59027,40002,343881746,3156777493,0,1,0,0,,3145728,0,32,,0.000006346,,,,
3478,2017-12-22 15:21:48.260436123,1513927308.260436,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343881746,0,1,0,0,,29056,1358,32,,,,,,1358
3479,2017-12-22 15:21:48.260472340,1513927308.2604723,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343883104,0,1,0,0,,29056,1358,32,,,,,,2716
3480,2017-12-22 15:21:48.260478241,1513927308.2604783,192.168.82.72,222.29.98.225,TCP,59027,40002,343884462,3156777493,0,1,0,0,,3145728,0,32,,0.000005901,,,,
3481,2017-12-22 15:21:48.260512102,1513927308.260512,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343884462,0,1,0,0,,29056,1358,32,,,,,,1358
3482,2017-12-22 15:21:48.261545830,1513927308.261546,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343885820,0,1,0,0,,29056,1358,32,,,,,,2716
3483,2017-12-22 15:21:48.261557339,1513927308.2615573,192.168.82.72,222.29.98.225,TCP,59027,40002,343887178,3156777493,0,1,0,0,,3145728,0,32,,0.000011509,,,,
3484,2017-12-22 15:21:48.261582121,1513927308.2615821,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343887178,0,1,0,0,,29056,1358,32,,,,,,1358
3485,2017-12-22 15:21:48.262728412,1513927308.2627285,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343888536,0,1,0,0,,29056,1358,32,,,,,,2716
3486,2017-12-22 15:21:48.262741107,1513927308.262741,192.168.82.72,222.29.98.225,TCP,59027,40002,343889894,3156777493,0,1,0,0,,3145728,0,32,,0.000012695,,,,
3487,2017-12-22 15:21:48.262766240,1513927308.2627661,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343889894,0,1,0,0,,29056,1358,32,,,,,,1358
3488,2017-12-22 15:21:48.262805864,1513927308.262806,222.29.98.225,192.168.82.72,TCP,40002,59027,3156777493,343891252,0,1,0,0,,29056,1358,32,,,,,,2716
